% |x y|
0.0466 0.0489
2.8716 858.7893
4.9633 18719.1032
3.7686 3897.9589
-2.5030 174.9805
2.7298 651.4775
4.0333 5722.7908
-3.1599 755.3588
4.4810 10420.4167
-0.9770 -0.0644
-3.8095 2420.2488
-3.4055 1205.1198
-0.9791 -0.0588
2.1149 167.8340
-4.8540 10844.2097
-2.4223 142.2900
-0.5674 -0.3499
4.1103 6370.8863
-3.8786 2706.0408
4.8511 16416.1921
3.3789 2112.2688
-2.9262 467.1369
-0.8131 -0.3189
-1.9391 34.4195
-1.0609 0.2190
-4.5137 6921.7347
-2.9134 454.5303
4.9204 17809.2947
-3.4491 1304.4385
-1.0396 0.1337
