// Photo problem 2
// From http://www.g12.cs.mu.oz.au/minizinc/photo.data2
// And what I can see is the same as
// http://www.ampl.com/NEW/LOGIC/EXAMPLES/photo11.dat
// (though 1-based instead of 0-based as here).
n = 11;
preferences = 
[
[0,0,1,0,1,0,0,1,0,0,0],
[0,0,0,0,1,0,0,0,1,0,0],
[0,0,0,1,1,0,0,0,0,0,0],
[1,0,0,0,1,0,0,0,0,1,0],
[1,0,0,0,0,1,0,0,0,0,0],
[1,0,0,0,0,0,0,0,1,0,0],
[0,0,1,0,0,0,0,1,0,0,0],
[0,0,0,0,0,0,1,0,1,0,0],
[0,0,0,0,0,0,0,0,0,1,0],
[0,0,0,0,0,0,0,0,0,0,1],
[0,0,0,0,0,0,0,0,0,0,0]
];
