//
// Chain Sudoku / Strimko
// From
// http://www.conceptispuzzles.com/index.aspx?uri=puzzle/sudoku/chain
//
//  Chain Sudoku 9x9
//  Difficulty: Very hard
//  Code: 069.9x9
//  ID: 06990000006
//
n = 9;
streams = 
   [
       [1,1,2,2,2,2,3,3,3],
       [1,1,2,2,2,3,2,3,4],
       [1,1,2,3,3,3,3,4,4],
       [1,5,6,6,6,7,7,7,4],
       [1,5,5,6,6,6,7,4,7],
       [1,5,5,5,5,7,6,7,4],
       [8,5,5,9,7,7,6,4,4],
       [8,8,8,9,9,9,6,9,4],
       [8,8,8,8,8,9,9,9,9]
    ];

num_placed = 21;
placed = 
   [
       [1,5,8],
       [1,8,2],
       [2,1,4],
       [2,3,7],
       [3,5,6],
       [3,8,7],
       [4,4,9],
       [4,6,2],
       [5,1,8],
       [5,3,1],
       [5,5,5],
       [5,7,6],
       [5,9,3],
       [6,4,5],
       [6,6,7],
       [7,2,6],
       [7,5,4],
       [8,7,8],
       [8,9,5],
       [9,2,8],
       [9,5,7]
  ];

