# Generated by make_knapsack_data.pl
# Sun Dec 16 09:17:59 2007
param WTMAX := 102;
param: ITEMS: VALUE WEIGHT :=

 1 20 89
 2 29 26
 3 81 75
 4 15 77
 5 94 8
 6 6 5
 7 59 41
 8 8 74
 9 58 46
 10 22 64
 11 12 64
 12 84 14
 13 40 83
 14 86 11
 15 97 47
 16 63 29
 17 51 29
 18 40 51
 19 10 16
 20 99 55
 21 1 64
 22 29 73
 23 71 54
 24 49 79
 25 40 16
 26 66 72
 27 67 22
 28 73 74
 29 52 68
 30 75 7
 31 43 70
 32 24 40
 33 92 75
 34 44 63
 35 1 23
 36 40 37
 37 45 45
 38 75 6
 39 26 41
 40 99 87
 41 17 4
 42 98 90
 43 69 43
 44 56 26
 45 35 95
 46 71 33
 47 92 34
 48 75 44
 49 84 53
 50 47 18
 51 53 22
 52 56 14
 53 91 28
 54 44 63
 55 77 6
 56 79 30
 57 55 49
 58 44 49
 59 0 46
 60 21 60
 61 75 98
 62 49 71
 63 39 60
 64 23 58
 65 62 77
 66 31 45
 67 48 64
 68 80 41
 69 1 58
 70 57 86
 71 70 2
 72 70 13
 73 20 63
 74 91 43
 75 94 5
 76 56 64
 77 90 26
 78 72 49
 79 53 14
 80 80 61
 81 47 65
 82 16 53
 83 60 59
 84 16 13
 85 88 59
 86 95 55
 87 20 26
 88 58 60
 89 23 85
 90 54 89
 91 74 77
 92 4 29
 93 23 55
 94 60 59
 95 59 52
 96 42 80
 97 18 37
 98 89 59
 99 77 2
 100 51 26
 101 5 60
 102 60 81
 103 59 14
 104 1 53
 105 72 45
 106 49 42
 107 14 43
 108 1 83
 109 98 28
 110 28 40
 111 14 80
 112 16 1
 113 6 58
 114 81 97
 115 76 44
 116 86 80
 117 26 64
 118 52 95
 119 4 86
 120 79 24
 121 82 96
 122 17 10
 123 93 20
 124 53 64
 125 85 66
 126 41 82
 127 33 8
 128 39 45
 129 72 70
 130 12 54
 131 9 55
 132 20 53
 133 68 17
 134 65 73
 135 97 15
 136 56 37
 137 76 49
 138 57 26
 139 77 90
 140 1 21
 141 37 13
 142 33 88
 143 3 27
 144 58 79
 145 7 51
 146 67 88
 147 51 36
 148 52 24
 149 96 30
 150 92 53
 151 65 34
 152 22 25
 153 44 83
 154 14 21
 155 85 2
 156 13 61
 157 36 47
 158 51 60
 159 49 73
 160 97 82
 161 5 75
 162 57 71
 163 45 18
 164 42 70
 165 75 1
 166 69 97
 167 47 62
 168 61 17
 169 4 59
 170 71 49
 171 92 89
 172 78 14
 173 4 22
 174 60 45
 175 92 25
 176 80 51
 177 77 3
 178 4 10
 179 17 16
 180 82 3
 181 8 86
 182 5 43
 183 52 82
 184 90 16
 185 15 99
 186 93 21
 187 7 61
 188 22 55
 189 32 84
 190 68 1
 191 60 72
 192 50 65
 193 24 61
 194 16 2
 195 92 62
 196 28 95
 197 11 75
 198 63 88
 199 76 26
 200 16 76
 201 90 82
 202 83 88
 203 94 2
 204 16 38
 205 70 11
 206 18 27
 207 81 28
 208 38 81
 209 49 61
 210 76 61
 211 75 97
 212 51 26
 213 83 9
 214 29 80
 215 46 17
 216 82 21
 217 61 97
 218 88 30
 219 68 60
 220 23 83
 221 33 33
 222 2 8
 223 36 19
 224 31 97
 225 47 4
 226 30 77
 227 27 50
 228 34 32
 229 11 7
 230 26 33
 231 34 18
 232 18 69
 233 50 11
 234 10 93
 235 30 29
 236 25 82
 237 68 69
 238 31 32
 239 98 2
 240 86 39
 241 11 27
 242 88 55
 243 20 58
 244 97 74
 245 68 38
 246 15 50
 247 89 37
 248 83 94
 249 84 4
 250 74 40
 251 82 24
 252 95 56
 253 45 50
 254 39 13
 255 23 68
 256 47 19
 257 24 30
 258 17 74
 259 76 87
 260 72 3
 261 45 97
 262 47 68
 263 46 37
 264 20 91
 265 22 10
 266 2 45
 267 75 61
 268 43 31
 269 0 57
 270 39 87
 271 32 76
 272 9 18
 273 78 49
 274 59 40
 275 85 94
 276 94 51
 277 78 24
 278 4 13
 279 47 9
 280 85 89
 281 27 25
 282 40 95
 283 43 7
 284 13 66
 285 99 43
 286 7 28
 287 40 71
 288 78 40
 289 65 14
 290 30 50
 291 19 84
 292 54 12
 293 13 37
 294 75 83
 295 41 41
 296 10 59
 297 39 27
 298 89 50
 299 68 57
 300 54 93
;
