# Photo problem 2
# From http://www.g12.cs.mu.oz.au/minizinc/photo.data2
# And what I can see is the same as
# http://www.ampl.com/NEW/LOGIC/EXAMPLES/photo11.dat
# (though 1-based instead of 0-based as here).
set PERSONS = 0 1 2 3 4 5 6 7 8 9 10;
param n := 11;
param preferences: 
    0 1 2 3 4 5 6 7 8  9 10:= 
 0  0 0 1 0 1 0 0 1 0  0  0
 1  0 0 0 0 1 0 0 0 1  0  0
 2  0 0 0 1 1 0 0 0 0  0  0
 3  1 0 0 0 1 0 0 0 0  1  0
 4  1 0 0 0 0 1 0 0 0  0  0
 5  1 0 0 0 0 0 0 0 1  0  0
 6  0 0 1 0 0 0 0 1 0  0  0
 7  0 0 0 0 0 0 1 0 1  0  0
 8  0 0 0 0 0 0 0 0 0  1  0
 9  0 0 0 0 0 0 0 0 0  0  1
10  0 0 0 0 0 0 0 0 0  0  0
;
