param n := 100;
param num_subsets := 2;
param s := 
1 1
2 4
3 1
4 9
5 10
6 1
7 5
8 1
9 5
10 5
11 7
12 7
13 1
14 3
15 2
16 7
17 3
18 9
19 6
20 3
21 1
22 1
23 4
24 5
25 6
26 6
27 3
28 7
29 9
30 6
31 8
32 6
33 9
34 7
35 10
36 4
37 4
38 1
39 5
40 9
41 1
42 10
43 4
44 1
45 9
46 4
47 2
48 10
49 2
50 6
51 3
52 3
53 1
54 4
55 9
56 5
57 7
58 9
59 7
60 4
61 6
62 7
63 3
64 3
65 10
66 1
67 7
68 2
69 3
70 1
71 2
72 5
73 8
74 9
75 8
76 3
77 2
78 6
79 2
80 5
81 8
82 3
83 8
84 7
85 7
86 5
87 9
88 6
89 1
90 6
91 4
92 10
93 9
94 9
95 7
96 4
97 9
98 2
99 7
100 4
;
